SiteName,Locator,Latitude,Longitude,Site Type,Area,New Georeferenced Column
METRO,FFBLANK,,,Freshwater - Uncategorized,,
East Passage,NSEX01V,,,Marine - Uncategorized,Central Puget Sound,
Jefferson Head,KSBP01D,,,Marine - Uncategorized,Central Puget Sound,
Jefferson Head,KSBP01V,,,Marine - Uncategorized,Central Puget Sound,
Point Wells,JSVW04,47.779308,-122.396828,Marine Intertidal,Central Puget Sound,POINT (-122.396828 47.779308)
Gene Coulon Park Beach,0828SB,47.5045,-122.202995,Swimming Beaches,Lake Washington,POINT (-122.202995 47.5045)
Pritchard Island Beach,4903SB,47.529778,-122.26311,Swimming Beaches,Lake Washington,POINT (-122.26311 47.529778)
Duwamish River - Henderson/MLK Outfall,LTXQ01,47.51108,-122.296435,Marine Offshore,Central Puget Sound,POINT (-122.296435 47.51108)
Houghton Beach,A422SB,47.659447,-122.2075,Swimming Beaches,Lake Washington,POINT (-122.2075 47.659447)
South Plant Outfall,LSEP01,47.6012001,-122.4260025,Marine Offshore,Central Puget Sound,POINT (-122.4260025 47.6012001)
Lake Washington near Henderson St,4903,47.522945,-122.262,Large Lakes,Lake Washington,POINT (-122.262 47.522945)
Christensen Creek mouth,VA23A,47.40295278,-122.5176111,Streams and Rivers,Christensen,POINT (-122.5176111 47.40295278)
Fauntleroy Cove Beach,LSVW01,47.5237999,-122.3939972,Marine Intertidal,Central Puget Sound,POINT (-122.3939972 47.5237999)
Issaquah Creek upstream of hatchery,A631,47.52711111,-122.0384444,Streams and Rivers,Issaquah,POINT (-122.0384444 47.52711111)
Alki Outfall Beach,LSKR01,47.5746994,-122.4169998,Marine Intertidal,Central Puget Sound,POINT (-122.4169998 47.5746994)
Duwamish Head,LSFX01,47.59870806,-122.3879056,Marine Intertidal,Central Puget Sound,POINT (-122.3879056 47.59870806)
Forbes Creek backwater,0456,47.69691667,-122.2079444,Streams and Rivers,Forbes,POINT (-122.2079444 47.69691667)
Seattle Aquarium,SEAQYSI,47.607858,-122.3435972,Marine Offshore,Central Puget Sound,POINT (-122.3435972 47.607858)
Lake Sammamish YSI Profiler Buoy,SAMMBUOY,47.580776,-122.09017,Large Lakes,Lake Sammamish,POINT (-122.09017 47.580776)
Raging River mouth near Dike Rd,RAGING_MTH,47.56694444,-121.8833333,Streams and Rivers,Raging River,POINT (-121.8833333 47.56694444)
Sammamish River mouth at 68th Ave NE,0450,47.75444444,-122.2499167,Streams and Rivers,Sammamish,POINT (-122.2499167 47.75444444)
West Green Lake Swim Beach,A734WSB,47.682167,-122.33933,Swimming Beaches,Green Lake,POINT (-122.33933 47.682167)
BELLEVUE  Enatai Park Beach,ENATAISB,47.578823,-122.19704,Swimming Beaches,Lake Washington,POINT (-122.19704 47.578823)
Cottage Lake Creek at Tolt Pipeline,N484,47.73644444,-122.0793611,Streams and Rivers,Cottage Lake Creek,POINT (-122.0793611 47.73644444)
